2026-04-14 11:35:00,476 | INFO | src.jobs.job3 | Файл шаблона Number: nu2026-04-14 11:35:02,993 | INFO | __main__ | Обработка успешно завершена: job3
w
2026-04-14 11:35:00,842 | INFO | src.jobs.job3 | Загружено номеров Arrowtech: 6200
2026-04-14 11:35:00,842 | INFO | src.jobs.job3 | Файл обработки: Перевозки_НП_влад обезл_070426 тест gemini.xlsx
2026-04-14 11:35:01,558 | INFO | src.jobs.job3 | ===== ДИАГНОСТИКА ПО СОВПАДЕНИЯМ С NUMBER =====
2026-04-14 11:35:01,919 | INFO | src.jobs.job3 | После развертывания НП строк: 10369
2026-04-14 11:35:01,929 | INFO | src.jobs.job3 | [ДИАГ] 0. Без фильтров: до=9389, после expand=10369, совпадения=4473
2026-04-14 11:35:02,103 | INFO | src.jobs.job3 | После развертывания НП строк: 5299
2026-04-14 11:35:02,107 | INFO | src.jobs.job3 | [ДИАГ] 1. После фильтра владельца записи: до=4604, после expand=5299, совпадения=4473
2026-04-14 11:35:02,275 | INFO | src.jobs.job3 | После развертывания НП строк: 5260
2026-04-14 11:35:02,280 | INFO | src.jobs.job3 | [ДИАГ] 2. После фильтра статуса: до=3884, после expand=5260, совпадения=4468
2026-04-14 11:35:02,436 | INFO | src.jobs.job3 | После развертывания НП строк: 4962
2026-04-14 11:35:02,440 | INFO | src.jobs.job3 | [ДИАГ] 3. После удаления company_id=1: до=3655, после expand=4962, совпадения=4450
2026-04-14 11:35:02,592 | INFO | src.jobs.job3 | После развертывания НП строк: 4962
2026-04-14 11:35:02,597 | INFO | src.jobs.job3 | [ДИАГ] 4. После фильтра даты >= 11.02.2026: строк=4962, совпадения=4450
2026-04-14 11:35:02,597 | INFO | src.jobs.job3 | ===== КОНЕЦ ДИАГНОСТИКИ =====
2026-04-14 11:35:02,599 | INFO | src.jobs.job3 | После фильтра владельца записи: 4604 строк
2026-04-14 11:35:02,600 | INFO | src.jobs.job3 | После фильтра статуса: 3884 строк
2026-04-14 11:35:02,601 | INFO | src.jobs.job3 | После удаления company_id=1: 3655 строк
2026-04-14 11:35:02,764 | INFO | src.jobs.job3 | После развертывания НП строк: 4962
2026-04-14 11:35:02,766 | INFO | src.jobs.job3 | После фильтра даты >= 11.02.2026: 4962 строк
2026-04-14 11:35:02,771 | INFO | src.jobs.job3 | Лист 2. Итоговых строк: 4962
2026-04-14 11:35:02,777 | INFO | src.jobs.job3 | Лист 3. Строк в сводной таблице: 4
2026-04-14 11:35:02,991 | INFO | src.jobs.job3 | Готово: D:\Stat\out\result_job3_20260414.xlsx
